"Id_organizationsDataSet","NAME_organizationsDataSet","ADDRESS_organizationsDataSet","CITY_organizationsDataSet","STATE_organizationsDataSet","ZIP_organizationsDataSet","PHONE_organizationsDataSet"
"5fcff9db-16e4-3e56-aa78-abbc16338097","THE LOWELL GENERAL HOSPITAL","295 VARNUM AVE","WESTFORD","MA",18863513,"9789376000"
"1ddd51d1-7297-3c3b-bad5-98aecd5e4a79","BAYADA HOME HEALTH CARE  INC","127 CAMBRIDGE STREET  SUTIE #2B","BURLINGTON","MA",18033735,"6174721333"
"2e1eaaf1-ebb0-332c-8921-f48e15b91879","ALLIANCE HEALTH AT MARINA BAY","2 SEAPORT DRIVE","QUINCY","MA",21711599,"6177695100"
"c272e12f-e154-3fee-b05d-b7c0cab2657d","STEWARD NORWOOD HOSPITAL INC","800 WASHINGTON ST","NORWOOD","MA",20623487,"7817692950"
"f549a720-814b-3dc6-ae77-6376a22564ee","J & B PARTNERSHIP LLP","209 COUNTY RD","NORTH FALMOUTH","MA",2556,"5085635913"
"32fcdfba-8c93-30f4-b15b-dd3b65c29deb","ELAINE CENTER AT HADLEY","20 NORTH MAPLE STREET","HADLEY","MA",10359715,"4135845057"
"0ddb0329-b59d-3187-874c-602c649249c8","BAYSTATE NOBLE HOSPITAL CORPORATION","115 W SILVER ST","WESTFIELD","MA",10853678,"4135682811"
"02c936e2-3aee-38b2-88a4-81f3689b7bb7","BENJAMIN HEALTHCARE CENTER","120 FISHER AVENUE","BOSTON","MA",21203320,"6177381500"
"609ec9f1-e806-3427-b912-9e3b2915521d","HOLYOKE VISITING NURSE ASSOC","575 BEECH STREET","HOLYOKE","MA",10406604,"4135345691"
"ede4a423-6258-3ef5-b5ba-0fa6bb579563","COMMUNITY HEALTH CONNECTIONS","326 NICHOLS ROAD","FITCHBURG","MA",14205478,"9788788100"
"a14e698d-a9ba-3eae-9c8b-682ec726433d","LYNN URGENT CARE LLC","776 WESTERN AVE","LYNN","MA",19052408,"6178939901"
"a247ed53-5f17-3eb5-87be-1d2257fa1579","LEOMINSTER REHABILITATION AND NURSING CENTER LLC","44 KEYSTONE DR","LEOMINSTER","MA",14531904,"9785379327"
"4c1a8ea6-b690-3c28-a02e-ebd82190ee65","SOUTH COVE COMMUNITY HEALTH CENTER  INC","885 WASHINGTON ST","BOSTON","MA",21111415,"6174827555"
"5ba6765a-f335-36b0-9c6a-6bb494c5330d","URGENT CARE MEDICAL ASSOCIATES  LLC","31 OLD ROUTE 7","WESTWOOD","MA",20902333,"2038850808"
"b6eeaaf7-1683-3bcb-b6ee-81ce304636ef","MELROSEWAKEFIELD HEALTHCARE  INC","170 GOVERNORS AVE","MELROSE","MA",21763225,"7819793050"
"d613e441-68e8-3502-8adb-3f770a1276bf","PALMER FAMILY SERVICES LLC","114 WATER ST","MILFORD","MA",17573007,"5084782008"
"b03b624d-c939-3688-986d-9555b8009a3b","HOLYOKE HEALTH CENTER INC","230 MAPLE ST","HOLYOKE","MA",10405144,"4134202122"
"d3085315-9893-34c7-8889-3a31dc17c2b0","WALPOLE MEDICAL CENTER  PC","1428 MAIN ST STE 7","WALPOLE","MA",20811729,"5086686600"
"469171e3-f6ec-3258-8e16-7038f6a439c0","COUNTRYSIDE HEALTH CARE OF MILFORD","COUNTRYSIDE DRIVE","MILFORD","MA",17571252,"5084730435"
"18061fd5-fda8-3e2d-87f0-0f3c87211bcc","CAMBRIDGE PUBLIC HEALTH COMMISSION","1493 CAMBRIDGE ST","SOMERVILLE","MA",21431408,"6176651000"
"b3ada130-6443-3a8e-98c7-4ec127a2b0c4","LIFE CARE CENTER OF ACTON","ONE GREAT ROAD","ACTON","MA",17205601,"9782639101"
"7489f6e0-fee6-3fff-90b6-444868eb907c","ABBOTT HOME HEALTH CARE  INC","1 KIDDIE DRIVE  SUITE 106","AVON","MA",23221182,"7813440344"
"43e33b67-64ac-3314-99ee-114fb2b56b80","TRINITY HEALTH OF NEW ENGLAND AT HOME","200 HILLSIDE CIRCLE  SUITE 2","WEST SPRINGFIELD","MA",10894681,"4135360503"
"fe30f2b4-9bc8-346e-afba-4455d1766545","KATZMAN FAMILY CENTER FOR LIVING","17 LAFAYETTE AVENUE","CHELSEA","MA",21502010,"6178846766"
"13161e5b-02d2-3d19-8b48-26ef0becfc83","LEONARD FLORENCE CENTER FOR LIVING","165 CAPTAIN'S ROW","CHELSEA","MA",21504019,"6178870001"
"4bc0cc09-77e5-37f5-844d-64a6637cae54","WESTERN MASSACHUSETTS HOSPITAL","91 EAST MOUNTAIN ROAD","WESTFIELD","MA",10851801,"4135624131"
"0fedae9f-701f-3317-9b2f-69aea2202cdc","BOSTON MEDICAL CENTER CORPORATION-","88 EAST NEWTON STREET","WINTHROP","MA",21522715,"6176388000"
"733fc7d0-7cf3-3995-82ef-a9883b807273","NORTH ADAMS COMMONS NURSING & REHABILITATION CENTE","175 FRANKLIN STREET","NORTH ADAMS","MA",12472712,"4136644041"
"9ab139f5-d278-31b4-b44e-feffdea65613","KINDRED AT HOME","88 ROUTE 6A 101","SANDWICH","MA",25631866,"5088882932"
"4b7c1695-a178-3e03-8651-51acfd3b8372","DOCTORS JAMES AND KELLY HOYE PARTNERS IN FAMILY CARE","600 OLD SOMERSET AVE","NORTH DIGHTON","MA",27641824,"5088247557"
"a3327df4-d092-350b-b551-e60c82076c9a","WEST BROOKFIELD FAMILY PRACTICE","46 NORTH MAIN ST","W BROOKFIELD","MA",15853232,"5088678977"
"ad007cc5-a3df-3aa7-886d-5123ab59d189","MADONNA MANOR  INC.","85 N WASHINGTON ST","NORTH ATTLEBORO","MA",27601634,"5086992740"
"980d9bfa-a344-3bff-8c02-232dd0e8fd34","EDEN HOME HEALTH CARE LLC","100 TRADE CENTER SUITE G-700","WOBURN","MA",18011851,"7812025401"
"794b1cc2-97be-30a4-83a0-4bf6add43c74","ST JOSEPH MANOR HEALTH CARE INC","215 THATCHER STREET","BROCKTON","MA",23023949,"5085835834"
"0fab3c4e-a028-39a6-b15a-be5a88b6aa2a","ENCOMPASS HEALTH REHAB HOSPITAL OF WESTERN MASS","222 STATE STREET","LUDLOW","MA",10563437,"4135897581"
"b0016371-afcb-37a6-8f90-5e3786e7806f","JEWISH HEALTHCARE CENTER INC","629 SALISBURY ST","WORCESTER","MA",16091120,"5087988653"
"3b021cb6-4745-3d9d-8436-230055f770bd","BETH ISRAEL DEACONESS HOSPITAL-NEEDHAM  INC.","148 CHESTNUT ST","NEEDHAM","MA",24943238,"7814533000"
"36705572-6b8a-337d-9d01-be1087ce4650","INTERNAL MEDICINE AND PREVENTIVE CARE PC","233 WINTHROP ST","TAUNTON","MA",27804428,"5088800070"
"e9a24be5-b0a3-3fd2-a606-dd13498024ea","NORTON HEALTH CARE PC","85 E MAIN ST STE A","NORTON","MA",27662307,"5089301927"
"57e4e5fa-d68d-3caa-a5ad-37beb1b51207","STEWARD NORWOOD HOSPITAL INC","800 WASHINGTON ST","NORWOOD","MA",20623487,"7812784120"
"b20a0fe1-53b3-33fc-8acb-bc9a2df64e57","NASHOBA NURSING SERVICE","3 PATTERSON ROAD  SUITE 3","SHIRLEY","MA",14642907,"9784256675"
"2befa435-3070-3350-a15c-e43ac1e84b24","HOLYOKE VISITING NURSE ASSOC & HOSPICE LIFE CARE","575 BEECH STREET","HOLYOKE","MA",10406604,"4135345691"
"00ffb204-07b4-3c72-a678-fa252e6cf86c","BEDFORD-LEXINGTON INTERNAL MEDICINE  PC","450 BEDFORD ST","LEXINGTON","MA",2420,"7812746274"
"70a26106-6797-39f8-83e6-6bcf212b99ad","CEDAR STREET FAMILY CLINIC INC","340 MAIN ST","WORCESTER","MA",16081601,"5087521331"
"b8421363-9807-3b16-a146-95336eea5cfb","COOLEY DICKINSON HOSPITAL INC","30 LOCUST ST","NORTHAMPTON","MA",10602052,"4135822000"
"3498e7d3-90fd-366b-bc6a-6f41dad6bae6","COLEMAN HOUSE","112 WEST MAIN STREET","NORTHBOROUGH","MA",15321824,"5083519355"
"37111f41-8bc5-35d3-9cd9-5b447a11ffd1","NEVINS NURSING & REHABILITATION CENTER","TEN INGALLS COURT","METHUEN","MA",18443712,"9786827611"
"24460683-f514-37ef-98c1-724b2fc9aa2a","THE COMMONWEALTH OF MASSACHUSETTS","60 HODGES AVE","TAUNTON","MA",27803034,"5089773110"
"f964d209-adbb-3f11-80ce-5687e587363a","CT-FAMILY CARE SERVICES LLC","155 MAPLE ST","SPRINGFIELD","MA",11051828,"8604328862"
"3076e02a-deac-3e81-96a9-1d32cbda6fca","GARDNER REHABILITATION AND NURSING CENTER","59 EASTWOOD CIRCLE","GARDNER","MA",14403901,"9786328776"
"1563fcb4-76a9-3ea4-863d-e276f38b9b3e","GREATER LAWRENCE FAMILY HEALTH CENTER INC","700 ESSEX STREET","LAWRENCE","MA",18414396,"9786892400"
"fbd4ccdf-2fdb-3652-9bbe-1ccff886bd34","CROWN HOME HEALTHCARE MA  INC","320 CENTRAL STREET  UNIT A2","SAUGUS","MA",19062372,"7812153815"
"901c2d40-1ca3-3879-9a20-c663b8adc0a9","TUFTS MEDICAL CENTER","800 WASHINGTON STREET","STONEHAM","MA",21802445,"6176365000"
"6170552c-4d27-3e64-8068-64a380f1837d","WP ACQUISITION SUB LLC","76 SUMMER ST","HAVERHILL","MA",18305814,"6158616000"
"e6cc6043-299a-3581-8f6b-b3b5d62c46ae","CARING HEALTH CENTER  INC","532 SUMNER AVE","SPRINGFIELD","MA",11082458,"4137391100"
"b9e35b8a-9831-32d8-a6dc-d7a546c126b0","VIBRA HOSPITAL OF WESTERN MASS - CENTRAL CAMPUS","111 HUNTOON MEMORIAL HIGHWAY  1ST FLOOR","SPRINGFIELD","MA",11092550,"4137876700"
"70d5bbef-3c05-3318-b9d7-003dc8fbb8cf","MARIAN MANOR  INC.","33 SUMMER ST","TAUNTON","MA",27803479,"5088224885"
"22249c0a-8ce9-3726-a3bb-b037c773ce5c","BOSTONIAN NURSING CARE & REHABILITATION CTR  THE","337 NEPONSET AVENUE","DORCHESTER","MA",21223103,"6172652350"
"38508743-50d1-3429-8fe2-37e42ddaf20e","BAYSTATE FRANKLIN MEDICAL CENTER","164 HIGH ST","GREENFIELD","MA",13012778,"4137730211"
"8d110f42-6f75-3751-b0c5-b45ab08333a1","MORTON HOSPITAL","88 WASHINGTON ST","TAUNTON","MA",27802465,"5088287000"
"9b1f8cd0-2246-3f4f-82df-23ea314c7665","LOWN ACQUISITION LLC","800 ESSEX ST","LAWRENCE","MA",18414617,"7818262393"
"357e489c-304e-3495-8354-62e85b5896b5","NORTH SHORE PREVENTIVE HEALTH CARE PC","75 HERRICK ST","BEVERLY","MA",19155900,"9785028850"
"15d4c950-4691-3996-b4c4-bf06bfb58ff7","HOLY FAMILY HOSPITAL","70 EAST ST","METHUEN","MA",18445883,"9786870151"
"655f2a4f-419c-39d3-8ed6-6c4117eb7e32","NORTH READING INTERNAL MEDICINE PC","21 MAIN ST","NORTH READING","MA",18641326,"9782760100"
"5018c664-e283-30eb-932a-529d9a19b3b5","FIRST PSYCHIATRIC PLANNERS  INC","300 SOUTH ST","WOBURN","MA",18014979,"6174690300"
"0caa0116-ef9a-3d4c-bcff-9c405a9d2bda","TRANQUILITY HEALTH AND WELLNESS PROFESSIONALS LLC","105 CHESTNUT ST STE 35","PLYMOUTH","MA",23604054,"5085633003"
"5ba77f2c-8ce5-3dde-bb46-3ffcceb3bfbf","188 FLORENCE STREET OPERATOR LLC","188 FLORENCE ST","CHESTNUT HILL","MA",24672641,"6173324730"
"847ba43f-362d-3325-a095-93eb95d9dd90","WESTFIELD HEALTHCARE  LLC","60 E SILVER ST","WESTFIELD","MA",10854434,"4135625121"
"1cff30ba-b91f-3ea2-b80b-770d67856358","ROYAL NURSING CENTER  LLC","359 JONES RD","FALMOUTH","MA",25403341,"7743450220"
"d4e48a16-0a60-3e90-81e5-c35b22ffe6af","GREEN MOUNTAIN URGENT CARE LLC","856 STATE RD","NORTH ADAMS","MA",12473027,"6035264635"
"39c15c0f-5c49-311e-99d2-1fb99d80e06e","HARBOR HEALTH SERVICES INC","398 NEPONSET AVE","DORCHESTER","MA",21223134,"6172823200"
"bccd7d67-203c-3d93-b6b0-bff5a146cd1d","CARECENTRAL URGENT CARE MEDICAL GROUP PC","286 WASHINGTON ST","STOUGHTON","MA",20721763,"7813412800"
"63cb4d95-04a9-3a35-b5d9-f89e0377a48d","STURDY MEMORIAL HOSPITAL INC","211 PARK ST","ATTLEBORO","MA",27033143,"5082368110"
"263d1b03-1560-3fc3-b93d-c33a0cbd5837","HOSPICE SERVICES OF MASSACHUSETTS","10 RIVERSIDE DRIVE  STE 201","LAKEVILLE","MA",23471689,"5082910049"
"4e880cb9-1ca0-3582-b8cf-8a59b0d2b878","BERKSHIRE INTERNAL MEDICINE LLC","51 S CHURCH ST","PITTSFIELD","MA",12016178,"4137688217"
"a2a41caf-758f-3962-8e5f-e6e603f93d17","VIBRA HOSPITAL OF WESTERN MASSACHUSETTS LLC","111 HUNTOON MEMORIAL HWY","ROCHDALE","MA",15421305,"5088926000"
"db28cc9a-fdfb-35a6-aef7-ab9b933ef244","CAMBRIDGE REHABILITATION & NURSING CENTER","8 DANA STREET","CAMBRIDGE","MA",21385402,"6178644267"
"a6fb79e7-4abb-3a68-b62d-e501427fdca4","AUBURN PRIMARY CARE AND AESTHETICS","489 WASHINGTON ST STE 202","AUBURN","MA",15015709,"5087969211"
"5117bb89-3a9f-3740-a0f1-c3a1a8d7851e","FAMILY PRACTICE ASSOCIATES R TAYLOR E HEYMAN & R LEE PTRS","20 ELM ST","PITTSFIELD","MA",12016502,"4134421019"
"4e3c60e6-dbed-32c3-9b03-767d7fbc82b0","LEEDS MA SNF LLC","222 RIVER RD","LEEDS","MA",10539783,"4135848457"
"9d0e702d-50a0-3f4c-9126-0951d560fd4b","NEW ENGLAND REHABILITATION SERVICES OF CENTRAL MASSACHUSETTS INC","189 MAY ST","WORCESTER","MA",16024339,"5087916351"
"f0e3e152-0b08-3819-b962-b043f63f6dc1","NORTHWOOD REHABILITATION & HEALTHCARE CENTER","1010 VARNUM AVENUE","LOWELL","MA",18541915,"9784588773"
"81b1ef2b-8d3c-3923-859d-ae56099e037a","19 VARNUM STREET OPERATING COMPANY  LLC","19 VARNUM STREET","LOWELL","MA",18502132,"9784545644"
"ea8d287f-b3a9-3800-8798-788e334ee406","NORTH SHORE MEDICAL CENTER INC","81 HIGHLAND AVE","SWAMPSCOTT","MA",19072928,"9783542065"
"d9fe2c9c-135e-3da3-8de8-1a0ff165d886","JEWISH FAMILY & CHILDREN'S SERVICE","1430 MAIN ST","WORCESTER","MA",16091121,"7816475327"
"8bf5325a-c11b-35c4-b07d-17a5aeba8353","BEACON HOSPICE  AN AMYEDISYS COMPANY","815 WORCESTER STREET","SPRINGFIELD","MA",11511001,"4132051229"
"9d2a1656-0f4d-30d1-bc63-eb365a05529c","STEWARD GOOD SAMARITAN MEDICAL CENTER  INC.","235 N PEARL ST","BROCKTON","MA",23011794,"5084272841"
"aba3e6f6-4562-342e-b90f-dd61b117f394","MEDICAL EXPRESS URGENT CARE CENTER CO INC","438 CHESTNUT STREET","SPRINGFIELD","MA",11072008,"4137811100"
"47fb5a56-bee5-3ecd-9958-706b20831c82","BETH ISRAEL LAHEY HEALTH AT HOME","600 CUMMINGS CENTER  SUITE 270X","WOBURN","MA",18016356,"9789212615"
"a194e94a-dd16-347e-95ea-8d00052c14d1","BASS RIVER HEALTHCARE ASSOCIATES INC","833 MAIN ST","S YARMOUTH","MA",26645254,"5083941353"
"be509ccb-bfb7-3b87-8945-8426b689ef9d","BOSTON HOME  INC (THE)","2049 DORCHESTER AVENUE","BOSTON","MA",21244742,"6178253905"
"73c7eaf8-f8b3-383f-b3e1-4d8ff5ca255d","MASHPEE ACQUISITION LLC","161 FALMOUTH RD","MASHPEE","MA",26492662,"5084772490"
"f8918a95-31e8-3ac4-8d12-29ca6080ebda","BETH ISRAEL DEACONESS HOSPITAL MILTON INC","199 REEDSDALE RD","MILTON","MA",21863926,"6173131214"
"bce5b907-584b-345d-bbcf-912cf56cb6c3","RENAISSANCE PRIMARY CARE LLC","11-15 SANDERSDALE ROAD","WORCESTER","MA",16032467,"7744202311"
"3ff0f58b-7a1f-3334-9449-ff15f68b7d86","BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH INC","275 SANDWICH ST","PLYMOUTH","MA",23607761,"5087462000"
"70e3ad4f-b9ff-3f3e-9990-2cd7e23a9d1c","HEALTH-MD URGENT CARE","1238 RIVERDALE ST","WEST SPRINGFIELD","MA",10894675,"4135043507"
"9cfdd210-a2ed-34d6-9381-2f5d999011ca","HIGHLAND PRIMARY CARE ASSOCIATES INC.","21 HIGHLAND AVE","NEWBURYPORT","MA",19503873,"9784637770"
"a6964d47-8af0-3df2-b99d-d8414eb1cfa3","ARBOUR-FULLER HOSPITAL","200 MAY ST","SOUTH ATTLEBORO","MA",27035520,"5087618500"
"dae3ee01-f383-366e-9ad6-dc92963064ea","MERCY MEDICAL CTR","1233 MAIN ST","HOLYOKE","MA",10405381,"4135365111"
"a7b047dd-186a-32de-8187-b0853c05aed6","COUNTRY CENTER FOR HEALTH & REHABILITATION","180 LOW STREET","NEWBURYPORT","MA",19503519,"9784655361"
"6d947ed4-9b7f-3720-8141-67109691d2e7","Pittsfield Outpatient Clinic","73 Eagle Street","Pittsfield","MA",1201,"413-499-2672 Or 413-499-2672"
"9d989fcf-4ad9-3972-ada3-f275d967781e","FALMOUTH HOSPITAL ASSOCIATION INC","100 TER HEUN DR","SANDWICH","MA",25632377,"5084573528"
"87472bc2-7c23-37cc-8355-7f3e88614b6b","EAST LONGMEADOW SKILLED NURSING CENTER","305 MAPLE STREET","EAST LONGMEADOW","MA",10282765,"4135256361"
"b69bccdc-5ad3-3ded-a018-3cd8f369c9d2","CAPE REGENCY REHABILITATION & HEALTH CARE CENTER","120 S MAIN STREET","CENTERVILLE","MA",26323246,"5087781835"
"de32e6d9-848e-35d4-a217-e62eb5e0bc7b","BEAR MT NEWBURYPORT LLC","77 HIGH ST","NEWBURYPORT","MA",19503071,"8608808202"
"a2cc09de-c1e2-3126-8c09-d49f95225281","CHILDREN'S HOSPITAL CORPORATION","300 LONGWOOD AVE","WALTHAM","MA",24532741,"6173554831"
"9f2f60a6-87a4-3f45-b753-b63b5b7e9993","NORTH END COMMUNITY HEALTH COMMITTEE INC","332 HANOVER STREET","BOSTON","MA",21131901,"6176438000"
"44cb1162-a345-3477-8723-c202a3c8cdcd","HOPKINTON MEDICAL CARE  P.C.","73 W MAIN ST","HOPKINTON","MA",17481619,"5084356900"
"c5306a86-09a1-32d9-875a-67ef56e131c0","ACCESS PRIMARY CARE INC","242 SUTTON ST","NORTH ANDOVER","MA",18451631,"9786551987"
"ab16be57-62ea-39a5-8f7a-ee1285cf6934","THE MCLEAN HOSPITAL CORPORATION","115 MILL ST","PETERSHAM","MA",13669503,"6178553316"
"bebc1dac-6c42-3225-b0ba-23278cdf2a62","MEMORY SUPPORT OF HERITAGE HALL","464 MAIN STREET","AGAWAM","MA",10011826,"4137868000"
"c7d9c6bb-b58e-3837-a78b-05ea645e65c8","ENCOMPASS HEALTH HOME HEALTH OF NEW ENGLAND LLC","30 RIVERSIDE DR STE 203","LAKEVILLE","MA",23471482,"7749927068"
"82248deb-13cc-31b2-8764-0233e159a93a","COMMUNITY HEALTH PROGRAMS INC","19 DEPOT STREET","ADAMS","MA",12201856,"4137431080"
"06cc2462-430f-3322-9c87-7e971125f510","EMERSON HOSPITAL","133 OLD ROAD TO 9 ACRE COR","WESTFORD","MA",18863198,"9782873226"
"98bf9e06-f827-310f-8022-35ee33686f76","LIGHTHOUSE OF REVERE  INC.","204 PROCTOR AVE","REVERE","MA",21514923,"7812863100"
"ee7fab6f-6438-394f-b1f2-3e452f8f055a","BLUEBERRY HILL REHABILITATION AND HEALTHCARE CTR","75 BRIMBAL AVENUE","BEVERLY","MA",19156009,"9789272020"
"79508e39-d0b0-3613-9d54-168f6e1c3a18","NASHOBA VALLEY MEDICAL CENTER","200 GROTON ROAD","GROTON","MA",14502056,"9787849000"
"65cf1d58-590c-3fc8-b68b-f429129a0f79","HARBORSIDE HOSPICE OF MASSACHUSETTS LLC","241 WINTER ST","HAVERHILL","MA",18314835,"8003311044"
"49fa72da-905b-3258-b22a-06e007c74c81","VISITING NURSE ASSOCIATION AND HOSPICE OF WESTERN NEW ENGLAND  INC","30 CAPITAL DR STE A","WESTFIELD","MA",10851832,"4137946411"
"a2d45ee8-b930-3169-b612-f602961ad212","SUNRISE HEALTHCARE LLC","37 MINUTEMAN WAY","SHREWSBURY","MA",15452229,"6176509959"
"10ffe7b1-2f94-3f12-9288-679da05a1ec9","WESTFORD INTERNAL MEDICINE PC","133 LITTLETON RD","WESTFORD","MA",1886,"9785771946"
"d0894f6b-78d7-338d-82ad-b63de4d40014","MOUNT AUBURN HOSPITAL","330 MOUNT AUBURN STREET","WALTHAM","MA",2452,"6174923500"
"3d5fbf38-c781-3e04-8c7e-5a402611b7d4","DAVIS SQUARE FAMILY PRACTICE","260 ELM ST","SOMERVILLE","MA",21442951,"6176669577"
"f43f97f2-af04-3ed0-a42e-3681718cc9b2","BERKSHIRE MEDICAL CENTER INC","725 NORTH ST","PITTSFIELD","MA",12014109,"4134472000"
"326bc5bc-8da8-3337-a76a-7d44202dae3d","ABERJONA NURSING CENTER  INC","184 SWANTON ST","WINCHESTER","MA",18901921,"7817299370"
"88975fd9-b47e-3af6-af78-c58e1ecf0d5e","BAYSTATE NOBLE HOSPITAL CORPORATION","115 W SILVER ST","WESTFIELD","MA",10853628,"4135682811"
"52efa2e5-007f-3396-a83a-28ca015f0595","BAYADA HOME HEALTH CARE INC","20 N PARK AVE STE 2200A","PLYMOUTH","MA",23604090,"5088300999"
"eb7b9a53-ce15-3de6-85b9-4aa4e3f26bac","BILLERICA HEALTHCARE SOLUTIONS LLC","194 BOARDMAN ST","HAVERHILL","MA",18306405,"9783735697"
"0506a7b9-05cd-32d6-a687-7589e67f8587","MEADOWS OF CENTRAL MASSACHUSETTS (THE)","111 HUNTOON MEMORIAL HWY","ROCHDALE","MA",15421305,"5088924858"
"edd58f69-ad5f-346b-b1f9-530ccdc895f6","RISE ABOVE WELLNESS HEALTH SERVICES LLC","52 CARPENTER ST","ATTLEBORO","MA",27032472,"8572473180"
"94ac48ba-e215-3ab9-ba88-a0b926d29cef","MEDFORD REHABILITATION AND NURSING CENTER","300 WINTHROP STREET","MEDFORD","MA",21552311,"7813964400"
"0334ad53-5d57-384e-a411-63b075139c06","SACHEM CENTER FOR HEALTH & REHABILITATION","66 CENTRAL STREET","EAST BRIDGEWATER","MA",23331913,"5083787227"
"4ba48ef6-19f2-3177-bfaf-096daaebf26a","SOUTH SHORE HEALTH CARE INC","275 TURNPIKE ST","BRAINTREE","MA",21845328,"7818481950"
"e5ce3b83-f5e6-308d-aa64-82539fc2d906","FIRST CHOICE HEALTHCARE  INC.","1842 BEACON ST","BROOKLINE","MA",24451922,"6172934594"
"f438b8e0-d856-328a-b193-2b014fc4cb97","D'YOUVILLE SENIOR CARE","981 VARNUM AVENUE","LOWELL","MA",18541913,"9784545681"
"936ceb96-2b12-371f-aa68-ee02a9c06f4c","PRIMARY CARE NORTH PC","225 BOSTON ST","LYNN","MA",19043124,"7815959581"
"0a8a4b11-d0b8-3cd2-92cd-983de5189cfa","LIFE CARE CENTER OF THE NORTH SHORE","111 BIRCH STREET","LYNN","MA",19021574,"7815929667"
"7b7ce654-a413-37d1-9d34-97240c0ac580","WOONSOCKET URGENT CARE PC","1 WRENTHAM ST","BELLINGHAM","MA",20192532,"5083184466"
"929528f5-8239-36c7-aacb-39424ede9cc5","KIMBALL FARMS NURSING CARE CENTER","40 SUNSET AVENUE","LENOX","MA",12402018,"4136375011"
"df852cb2-9fe0-3c90-87ac-46e5f980ee3b","HOSPICE OF NASHOBA NURSING SERVICE","3 PATTERSON ROAD  SUITE 3","SHIRLEY","MA",14642907,"9784256675"
"281525ef-5743-34a8-9339-66c8b4be6668","NOTRE DAME HOSPICE","555 PLANTATION STREET","WORCESTER","MA",16052376,"5088525505"
"3e97ce4f-3ad7-3cea-883f-e2bb4ca89d83","HALLMARK HEALTH URGENT CARE PHYSICIANS LLC","30 NEW CROSSING RD","READING","MA",18673270,"7812801699"
"46daa26f-fda5-38a9-9c45-fda430d28fa6","FIDELIS HOSPICE","25 RAILROAD SQUARE  SUITE 501","HAVERHILL","MA",18325721,"9789127842"
"c0132cf6-1703-3aad-89b4-cc2f2bbc123e","MARISTHILL NURSING & REHABILITATION CENTER","66 NEWTON STREET","WALTHAM","MA",24536058,"7818930240"
"c4e5b33c-17b8-3f51-a8ba-a327d54e642a","PRIMARY CARE MEDICINE AND PEDIATRICS  LLC","94 N ELM ST","WESTFIELD","MA",10852917,"4135621650"
"6d6ef57e-b2ce-3a69-bacf-4305c51834b0","VISITING NURSE AT HIGHLAND INC","186 HIGHLAND AVE","SOMERVILLE","MA",21431507,"6177764420"
